"store","brand","total_revenue","total_qty","rank_in_store"
1,4261,"7744.48","352","1"
1,1233,"7018.05","195","2"
1,4227,"5271.07","293","3"
1,3405,"4987.31","169","4"
1,3545,"4960.35","165","5"
1,3858,"4678.05","195","6"
1,2585,"4605.04","196","7"
1,8068,"4570.20","180","8"
1,3802,"4484.51","249","9"
1,3650,"4345.12","88","10"
2,3545,"11864.08","392","1"
2,4261,"5871.33","267","2"
2,1233,"5434.49","151","3"
2,2589,"4095.02","98","4"
2,1476,"3892.23","177","5"
2,8068,"3882.50","150","6"
2,8680,"3712.07","93","7"
2,3405,"3208.93","107","8"
2,8159,"3118.80","120","9"
2,2757,"2879.04","96","10"
3,26248,"1749.93","7","1"
3,8622,"875.94","6","2"
3,44854,"869.85","15","3"
3,19218,"719.94","6","4"
3,43362,"659.94","6","5"
3,19264,"629.91","9","6"
3,44547,"559.92","8","7"
3,11214,"524.93","7","8"
3,35464,"512.91","9","9"
3,1398,"506.91","9","10"
4,8068,"3418.68","132","1"
4,1233,"3347.07","93","2"
4,4261,"3320.49","151","3"
4,3545,"2705.10","90","4"
4,3405,"2549.15","85","5"
4,4227,"1673.07","93","6"
4,8680,"1638.59","41","7"
4,3650,"1546.69","31","8"
4,3876,"1526.19","81","9"
4,2585,"1457.39","61","10"
5,4261,"2462.88","112","1"
5,5364,"1371.57","43","2"
5,1233,"1043.71","29","3"
5,2494,"986.79","21","4"
5,2114,"883.32","68","5"
5,1232,"881.62","38","6"
5,2432,"827.68","32","7"
5,3102,"737.59","41","8"
5,2418,"706.69","31","9"
5,8068,"699.73","27","10"
6,3405,"4438.52","148","1"
6,811,"3498.89","111","2"
6,3545,"3344.89","111","3"
6,3650,"3099.38","62","4"
6,800,"2936.11","89","5"
6,1233,"2843.21","79","6"
6,8068,"2664.97","103","7"
6,8178,"2597.01","99","8"
6,3858,"2566.93","107","9"
6,6579,"2563.65","235","10"
7,4261,"4398.00","200","1"
7,1233,"4390.78","122","2"
7,1376,"3346.54","146","3"
7,2114,"2896.77","223","4"
7,8680,"2796.30","70","5"
7,2127,"2748.38","262","6"
7,8068,"2620.99","101","7"
7,2120,"2398.50","150","8"
7,3876,"2120.88","112","9"
7,3489,"2092.38","62","10"
8,4261,"5981.28","272","1"
8,1233,"3239.10","90","2"
8,3858,"2638.90","110","3"
8,3545,"2631.13","87","4"
8,2114,"2429.13","187","5"
8,1376,"1981.13","87","6"
8,4227,"1924.93","107","7"
8,8068,"1812.30","70","8"
8,5364,"1811.43","57","9"
8,3876,"1677.11","89","10"
9,4261,"6509.04","296","1"
9,3405,"4528.49","151","2"
9,3545,"4272.58","142","3"
9,8068,"3883.50","150","4"
9,1233,"3383.06","94","5"
9,2589,"3271.22","78","6"
9,4227,"2968.35","165","7"
9,1376,"2882.74","126","8"
9,2585,"2850.81","119","9"
9,3876,"2810.51","149","10"
10,4261,"18400.64","836","1"
10,1233,"14144.07","393","2"
10,8068,"11611.42","458","3"
10,3650,"10807.81","219","4"
10,2589,"8437.92","208","5"
10,3858,"8412.50","350","6"
10,3405,"7999.29","271","7"
10,497,"7936.03","397","8"
10,3545,"7443.53","247","9"
10,2889,"6960.89","211","10"
11,3545,"8785.08","292","1"
11,1233,"8061.76","224","2"
11,11214,"6973.45","95","3"
11,4261,"5981.28","272","4"
11,3489,"5677.24","176","5"
11,2757,"4768.41","159","6"
11,3405,"4688.41","159","7"
11,3858,"4658.06","194","8"
11,8068,"4529.22","178","9"
11,1376,"3503.55","145","10"
12,8068,"4725.14","186","1"
12,3405,"3590.78","122","2"
12,4261,"3320.49","151","3"
12,1233,"3239.10","90","4"
12,11219,"2222.54","146","5"
12,3802,"2160.80","120","6"
12,3489,"2150.31","69","7"
12,2663,"2049.46","54","8"
12,3545,"2015.33","67","9"
12,8680,"1955.52","48","10"
13,4261,"14567.38","662","1"
13,4227,"7879.62","438","2"
13,3405,"5437.16","184","3"
13,1233,"4822.66","134","4"
13,8068,"4425.26","174","5"
13,3876,"3541.16","184","6"
13,3512,"3494.94","206","7"
13,3802,"3294.17","183","8"
13,2120,"3036.04","196","9"
13,4262,"2974.10","190","10"
14,4261,"18691.50","850","1"
14,4227,"10452.19","581","2"
14,8068,"9234.38","362","3"
14,1233,"8349.68","232","4"
14,7878,"7944.66","534","5"
14,3102,"5774.79","321","6"
14,5138,"5609.99","401","7"
14,3545,"5532.16","184","8"
14,3512,"5525.74","326","9"
14,3405,"5417.16","184","10"
15,8068,"20406.90","810","1"
15,1233,"17383.17","483","2"
15,42188,"14887.17","283","3"
15,8512,"14718.60","740","4"
15,3545,"13869.38","462","5"
15,4261,"12622.26","574","6"
15,2589,"10469.42","258","7"
15,3858,"9675.97","403","8"
15,2585,"9668.84","416","9"
15,13215,"9500.40","360","10"
16,4261,"7720.49","351","1"
16,2127,"5014.22","478","2"
16,2120,"4922.81","319","3"
16,2114,"3902.22","278","4"
16,8068,"2975.83","117","5"
16,8680,"2859.30","70","6"
16,1233,"2699.25","75","7"
16,3489,"2289.26","74","8"
16,1376,"2183.10","90","9"
16,1476,"1991.11","89","10"
17,4261,"6953.84","316","1"
17,1233,"4606.72","128","2"
17,8068,"3391.67","133","3"
17,4227,"3022.32","168","4"
17,3102,"2734.48","152","5"
17,3802,"2683.51","149","6"
17,3893,"2667.33","267","7"
17,3512,"2593.47","153","8"
17,2120,"2400.45","155","9"
17,3826,"2323.93","107","10"
18,4261,"3829.26","174","1"
18,1233,"2987.17","83","2"
18,8068,"2659.95","105","3"
18,8680,"2520.38","62","4"
18,2127,"2507.11","239","5"
18,3893,"1708.29","171","6"
18,4227,"1655.08","92","7"
18,2120,"1582.98","102","8"
18,3405,"1420.52","48","9"
18,3858,"1371.43","57","10"
19,3405,"4001.64","136","1"
19,1233,"3203.11","89","2"
19,3545,"2833.06","94","3"
19,4261,"2792.73","127","4"
19,2127,"2695.93","257","5"
19,2120,"2418.45","155","6"
19,3893,"2227.77","223","7"
19,1376,"2089.15","85","8"
19,3858,"1991.17","83","9"
19,2757,"1739.42","58","10"
20,4261,"5519.49","251","1"
20,3858,"4342.19","181","2"
20,3405,"3688.77","123","3"
20,1233,"2843.21","79","4"
20,3650,"2798.44","56","5"
20,3545,"2647.12","88","6"
20,8068,"2594.00","100","7"
20,1232,"2073.10","90","8"
20,3802,"1729.04","96","9"
20,3982,"1727.17","83","10"
21,1233,"3491.03","97","1"
21,3858,"3478.55","145","2"
21,2757,"3088.97","103","3"
21,3545,"2495.17","83","4"
21,8680,"1916.52","48","5"
21,2663,"1779.55","45","6"
21,4261,"1759.20","80","7"
21,3405,"1469.51","49","8"
21,3489,"1462.57","43","9"
21,36380,"1438.56","144","10"
22,4261,"5387.55","245","1"
22,1233,"3239.10","90","2"
22,4227,"3130.26","174","3"
22,3545,"2861.05","95","4"
22,8068,"2794.92","108","5"
22,1376,"2130.07","93","6"
22,3102,"1727.04","96","7"
22,3405,"1649.45","55","8"
22,3858,"1463.39","61","9"
22,8680,"1439.64","36","10"
23,2492,"7258.68","132","1"
23,4261,"5431.53","247","2"
23,3405,"5278.24","176","3"
23,1233,"4498.75","125","4"
23,3545,"4158.62","138","5"
23,8068,"4045.44","156","6"
23,4227,"3418.10","190","7"
23,8159,"3014.84","116","8"
23,2585,"2983.75","125","9"
23,1476,"2946.66","134","10"
24,3858,"3622.49","151","1"
24,3545,"2611.13","87","2"
24,4261,"2023.08","92","3"
24,1781,"1649.70","30","4"
24,3893,"1638.36","164","5"
24,2585,"1482.38","62","6"
24,1233,"1403.61","39","7"
24,8068,"1373.47","53","8"
24,1376,"1348.41","59","9"
24,3405,"1169.61","39","10"
25,4261,"3716.31","169","1"
25,6579,"3403.89","311","2"
25,3405,"3388.87","113","3"
25,3545,"3276.91","109","4"
25,3858,"3118.70","130","5"
25,1233,"2591.28","72","6"
25,8068,"2540.02","98","7"
25,1376,"2288.00","100","8"
25,11219,"2079.61","139","9"
25,3802,"1949.92","108","10"
26,1233,"719.80","20","1"
26,4261,"659.70","30","2"
26,1278,"454.87","13","3"
26,3545,"451.85","15","4"
26,4227,"413.77","23","5"
26,12465,"404.55","45","6"
26,3102,"377.79","21","7"
26,3405,"359.88","12","8"
26,6105,"359.82","18","9"
