"store","est_cogs","total_revenue","est_gross_profit","gross_margin_pct"
34,"1035311.72","1537806.51","502494.79","32.68"
15,"967656.23","1422998.94","455342.71","32.00"
76,"935601.56","1402698.59","467097.03","33.30"
73,"846365.52","1266850.62","420485.10","33.19"
66,"839437.78","1257824.93","418387.15","33.26"
38,"822185.40","1237991.19","415805.79","33.59"
10,"796170.14","1154926.80","358756.66","31.06"
69,"753940.51","1131369.88","377429.37","33.36"
67,"746320.13","1117046.85","370726.72","33.19"
1,"654640.41","975115.86","320475.45","32.87"
50,"618155.28","908139.77","289984.49","31.93"
60,"561546.20","841530.75","279984.55","33.27"
11,"522854.08","791786.64","268932.56","33.97"
14,"494665.53","711060.89","216395.36","30.43"
55,"439873.39","662159.65","222286.26","33.57"
49,"446132.95","660456.92","214323.97","32.45"
23,"369243.97","551079.42","181835.45","33.00"
68,"355721.44","540842.06","185120.62","34.23"
33,"323889.18","484759.32","160870.14","33.19"
41,"321335.70","471092.15","149756.45","31.79"
6,"304695.20","458731.26","154036.06","33.58"
74,"286938.93","423388.27","136449.34","32.23"
25,"269707.30","408561.56","138854.26","33.99"
9,"274055.19","405376.85","131321.66","32.39"
2,"273052.47","402401.61","129349.14","32.14"
32,"264496.23","393499.74","129003.51","32.78"
59,"259266.16","384557.70","125291.54","32.58"
7,"252960.24","381052.30","128092.06","33.62"
13,"247257.35","355377.15","108119.80","30.42"
79,"236377.50","355114.46","118736.96","33.44"
72,"234591.00","348004.54","113413.54","32.59"
64,"225127.61","345161.36","120033.75","34.78"
71,"226698.53","333370.30","106671.77","32.00"
61,"220854.24","324244.24","103390.00","31.89"
54,"211612.42","321747.48","110135.06","34.23"
12,"209807.95","317726.67","107918.72","33.97"
17,"207924.78","302043.43","94118.65","31.16"
21,"197735.87","301869.95","104134.08","34.50"
75,"198249.67","289368.88","91119.21","31.49"
30,"194150.02","287924.57","93774.55","32.57"
56,"188744.27","285901.81","97157.54","33.98"
51,"192441.95","285054.61","92612.66","32.49"
53,"193564.89","282711.26","89146.37","31.53"
19,"185200.51","273828.91","88628.40","32.37"
48,"190428.00","273768.73","83340.73","30.44"
27,"186349.37","269209.38","82860.01","30.78"
20,"176578.83","259849.45","83270.62","32.05"
31,"174299.61","254388.11","80088.50","31.48"
22,"167270.04","248882.62","81612.58","32.79"
16,"170519.09","248529.44","78010.35","31.39"
58,"169418.43","247177.26","77758.83","31.46"
8,"166588.04","245265.61","78677.57","32.08"
77,"158580.79","232314.08","73733.29","31.74"
4,"155025.88","230082.72","75056.84","32.62"
62,"153330.10","225052.61","71722.51","31.87"
47,"146566.80","219950.97","73384.17","33.36"
42,"134682.27","203653.95","68971.68","33.87"
39,"127172.19","194274.30","67102.11","34.54"
78,"130365.56","193179.93","62814.37","32.52"
35,"122031.08","180839.57","58808.49","32.52"
40,"114965.44","171739.16","56773.72","33.06"
18,"112117.07","164133.11","52016.04","31.69"
65,"94668.55","145039.86","50371.31","34.73"
70,"95887.71","141196.68","45308.97","32.09"
43,"92365.26","134537.44","42172.18","31.35"
57,"88783.19","131875.87","43092.68","32.68"
24,"87851.79","129131.06","41279.27","31.97"
44,"80321.01","119822.27","39501.26","32.97"
63,"82317.42","118779.89","36462.47","30.70"
46,"75982.63","114644.87","38662.24","33.72"
52,"67619.83","100529.88","32910.05","32.74"
45,"66789.01","97909.56","31120.55","31.78"
5,"63243.93","93172.39","29928.46","32.12"
36,"61121.36","89840.08","28718.72","31.97"
28,"59974.86","89100.76","29125.90","32.69"
37,"45178.40","66599.43","21421.03","32.16"
29,"31218.32","46191.93","14973.61","32.42"
26,"23116.04","33599.00","10482.96","31.20"
3,"20355.47","30556.67","10201.20","33.38"
