"store","brand","inventory_id","beg_on_hand","end_on_hand","avg_inventory","inv_movement"
1,58,"1_HARDERSFIELD_58",8,11,"9.50","INCREASED"
1,60,"1_HARDERSFIELD_60",7,0,"3.50","DISAPPEARED"
1,62,"1_HARDERSFIELD_62",6,7,"6.50","INCREASED"
1,63,"1_HARDERSFIELD_63",3,7,"5.00","INCREASED"
1,72,"1_HARDERSFIELD_72",6,4,"5.00","DECREASED"
1,75,"1_HARDERSFIELD_75",18,7,"12.50","DECREASED"
1,77,"1_HARDERSFIELD_77",7,18,"12.50","INCREASED"
1,79,"1_HARDERSFIELD_79",2,7,"4.50","INCREASED"
1,115,"1_HARDERSFIELD_115",5,35,"20.00","INCREASED"
1,120,"1_HARDERSFIELD_120",11,0,"5.50","DISAPPEARED"
1,126,"1_HARDERSFIELD_126",17,36,"26.50","INCREASED"
1,159,"1_HARDERSFIELD_159",0,8,"4.00","NEW_ITEM"
1,165,"1_HARDERSFIELD_165",0,0,"0.00","DISAPPEARED"
1,171,"1_HARDERSFIELD_171",12,24,"18.00","INCREASED"
1,175,"1_HARDERSFIELD_175",6,10,"8.00","INCREASED"
1,178,"1_HARDERSFIELD_178",24,6,"15.00","DECREASED"
1,192,"1_HARDERSFIELD_192",2,5,"3.50","INCREASED"
1,200,"1_HARDERSFIELD_200",0,3,"1.50","NEW_ITEM"
1,211,"1_HARDERSFIELD_211",6,7,"6.50","INCREASED"
1,233,"1_HARDERSFIELD_233",11,11,"11.00","UNCHANGED"
1,247,"1_HARDERSFIELD_247",1,0,"0.50","DISAPPEARED"
1,254,"1_HARDERSFIELD_254",13,11,"12.00","DECREASED"
1,261,"1_HARDERSFIELD_261",14,8,"11.00","DECREASED"
1,271,"1_HARDERSFIELD_271",0,5,"2.50","NEW_ITEM"
1,273,"1_HARDERSFIELD_273",29,46,"37.50","INCREASED"
1,281,"1_HARDERSFIELD_281",1,0,"0.50","DISAPPEARED"
1,283,"1_HARDERSFIELD_283",4,0,"2.00","DISAPPEARED"
1,284,"1_HARDERSFIELD_284",2,8,"5.00","INCREASED"
1,288,"1_HARDERSFIELD_288",0,5,"2.50","NEW_ITEM"
1,290,"1_HARDERSFIELD_290",0,5,"2.50","NEW_ITEM"
