"brand","avg_daily_demand","stddev_daily_demand","selling_days","avg_lead_days","stddev_lead_days","rop_base","safety_stock_95","rop_with_safety_stock"
278,"4.0000",NULL,"1","8.30","1.77","33.20",NULL,NULL
317,"1.0000",NULL,"1","10.00",NULL,"10.00",NULL,NULL
248,"1.0000",NULL,"1","9.67","1.15","9.67",NULL,NULL
222,"2.0000",NULL,"1","7.06","2.01","14.12",NULL,NULL
204,"1.0000",NULL,"1","8.50","0.71","8.50",NULL,NULL
188,"12.0000",NULL,"1","7.00","2.45","84.00",NULL,NULL
189,"2.0000",NULL,"1","8.50","3.54","17.00",NULL,NULL
229,"6.0000",NULL,"1",NULL,NULL,"42.00",NULL,NULL
201,"2.0000",NULL,"1","7.14","1.68","14.28",NULL,NULL
86,"1.0000",NULL,"1","7.33","0.58","7.33",NULL,NULL
143,"1.0000",NULL,"1","5.00","1.15","5.00",NULL,NULL
129,"1.0000",NULL,"1","7.00","1.41","7.00",NULL,NULL
105,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
148,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
172,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
151,"1.0000",NULL,"1","8.00","2.09","8.00",NULL,NULL
150,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
187,"12.0000",NULL,"1","6.00",NULL,"72.00",NULL,NULL
82,"3.0000",NULL,"1","6.33","2.52","18.99",NULL,NULL
330,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
