"month","qty_sold","qty_received","net_inv_change","inv_status"
"2016-01-01 00:00:00+00","2194959","2232313","37354","OVERSTOCK_RISK"
"2016-02-01 00:00:00+00","256210","2182428","1926218","OVERSTOCK_RISK"
"2016-03-01 00:00:00+00","0","2319276","2319276","OVERSTOCK_RISK"
"2016-04-01 00:00:00+00","0","2218612","2218612","OVERSTOCK_RISK"
"2016-05-01 00:00:00+00","0","2778905","2778905","OVERSTOCK_RISK"
"2016-06-01 00:00:00+00","0","3025276","3025276","OVERSTOCK_RISK"
"2016-07-01 00:00:00+00","0","3322525","3322525","OVERSTOCK_RISK"
"2016-08-01 00:00:00+00","0","3328118","3328118","OVERSTOCK_RISK"
"2016-09-01 00:00:00+00","0","2953690","2953690","OVERSTOCK_RISK"
"2016-10-01 00:00:00+00","0","2788824","2788824","OVERSTOCK_RISK"
"2016-11-01 00:00:00+00","0","3051058","3051058","OVERSTOCK_RISK"
"2016-12-01 00:00:00+00","0","3383352","3383352","OVERSTOCK_RISK"
