"sales_month","brand","description","monthly_qty","monthly_revenue"
"2016-01-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","17937","394434.63"
"2016-01-01 00:00:00+00",3545,"Ketel One Vodka","11157","335958.43"
"2016-01-01 00:00:00+00",1233,"Jack Daniels No 7 Black","8475","305015.25"
"2016-01-01 00:00:00+00",8068,"Absolut 80 Proof","9661","249950.39"
"2016-01-01 00:00:00+00",3405,"Tito's Handmade Vodka","8328","249756.72"
"2016-01-01 00:00:00+00",3858,"Grey Goose Vodka","8512","204202.88"
"2016-01-01 00:00:00+00",2589,"Jameson Irish Whiskey","4254","175873.46"
"2016-01-01 00:00:00+00",4227,"Bacardi Superior Rum Trav","8956","161118.44"
"2016-01-01 00:00:00+00",1376,"Jim Beam","6842","156449.58"
"2016-01-01 00:00:00+00",2585,"Jameson Irish Whiskey","6166","146632.34"
"2016-02-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","2289","50376.11"
"2016-02-01 00:00:00+00",1233,"Jack Daniels No 7 Black","1103","39696.97"
"2016-02-01 00:00:00+00",8068,"Absolut 80 Proof","1528","38184.72"
"2016-02-01 00:00:00+00",3405,"Tito's Handmade Vodka","875","25406.25"
"2016-02-01 00:00:00+00",4227,"Bacardi Superior Rum Trav","1253","22541.47"
"2016-02-01 00:00:00+00",3545,"Ketel One Vodka","726","21800.74"
"2016-02-01 00:00:00+00",3858,"Grey Goose Vodka","866","20811.34"
"2016-02-01 00:00:00+00",2585,"Jameson Irish Whiskey","774","17794.26"
"2016-02-01 00:00:00+00",2589,"Jameson Irish Whiskey","395","15796.05"
"2016-02-01 00:00:00+00",1376,"Jim Beam","520","13472.80"
