"store","brand","total_revenue","total_qty","rank_in_store"
1,1233,"51140.85","1415","1"
1,3405,"50017.15","1657","2"
1,4261,"47558.83","2117","3"
1,3545,"39138.44","1256","4"
1,3650,"38811.98","802","5"
1,8068,"36841.33","1517","6"
1,6570,"35910.70","3326","7"
1,1376,"34131.09","1491","8"
1,2585,"32133.34","1366","9"
1,3489,"30066.74","1026","10"
2,1233,"123500.47","3453","1"
2,3545,"111134.01","3599","2"
2,8068,"90207.12","3738","3"
2,2589,"84466.78","2122","4"
2,3405,"74533.60","2488","5"
2,4261,"73731.91","3309","6"
2,3489,"67074.89","2311","7"
2,1376,"58340.34","2566","8"
2,3102,"55944.86","3214","9"
2,3858,"53840.30","2270","10"
3,3505,"7091.34","366","1"
3,1868,"7008.03","97","2"
3,1714,"5849.91","209","3"
3,3858,"5848.10","240","4"
3,1869,"5611.06","94","5"
3,6654,"5145.56","124","6"
3,5627,"4470.51","249","7"
3,11214,"4449.48","64","8"
3,1956,"4212.27","73","9"
3,26248,"3879.83","17","10"
4,1233,"50284.97","1403","1"
4,8068,"40698.32","1668","2"
4,4261,"37677.00","1700","3"
4,3405,"37598.89","1255","4"
4,3545,"35932.36","1164","5"
4,3858,"24746.12","1038","6"
4,3102,"20807.19","1181","7"
4,2589,"20417.88","512","8"
4,1376,"20301.03","897","9"
4,3650,"19829.90","410","10"
5,4261,"28909.10","1290","1"
5,5364,"15548.97","503","2"
5,1233,"15194.79","421","3"
5,8068,"13883.80","570","4"
5,8680,"11802.00","300","5"
5,2432,"11759.99","501","6"
5,1232,"11667.08","492","7"
5,2127,"11443.52","1098","8"
5,2418,"9444.99","401","9"
5,4243,"9423.65","435","10"
6,3405,"72313.44","2400","1"
6,3650,"55434.52","1148","2"
6,3040,"50825.97","2103","3"
6,800,"44660.22","1378","4"
6,3545,"42986.25","1375","5"
6,811,"42709.74","1426","6"
6,6654,"42374.29","1027","7"
6,6570,"41427.10","3778","8"
6,3505,"36966.90","1910","9"
6,8068,"33554.77","1373","10"
7,4261,"58130.99","2601","1"
7,1233,"53790.10","1490","2"
7,8068,"53147.61","2189","3"
7,3405,"43617.13","1455","4"
7,8680,"43268.99","1101","5"
7,1376,"40824.07","1793","6"
7,2127,"37822.72","3628","7"
7,3489,"37501.18","1282","8"
7,2120,"34886.75","2125","9"
7,2114,"30421.94","2306","10"
8,4261,"62822.91","2809","1"
8,1233,"39918.93","1107","2"
8,8068,"35764.78","1472","3"
8,1376,"33968.08","1492","4"
8,3489,"31682.15","1085","5"
8,2114,"28506.52","2148","6"
8,3545,"26572.47","853","7"
8,3405,"25545.26","850","8"
8,4243,"24340.80","1120","9"
8,2120,"24182.22","1478","10"
9,3405,"86041.21","2855","1"
9,4261,"71632.89","3211","2"
9,8068,"61903.59","2541","3"
9,1233,"54805.82","1518","4"
9,3545,"49892.91","1609","5"
9,2589,"46277.54","1146","6"
9,2585,"39097.43","1657","7"
9,1376,"38682.98","1702","8"
9,4243,"38450.26","1774","9"
9,3650,"33317.12","688","10"
10,1233,"122977.51","3449","1"
10,4261,"111535.11","4989","2"
10,8068,"89305.95","3705","3"
10,3858,"83913.53","3497","4"
10,2589,"74128.26","1874","5"
10,42188,"67865.48","1302","6"
10,3405,"67567.01","2251","7"
10,3650,"66013.37","1363","8"
10,2753,"62691.72","1028","9"
10,126,"62434.20","2080","10"
11,3489,"39926.41","1359","1"
11,3545,"39102.43","1257","2"
11,1233,"37277.68","1032","3"
11,3405,"35318.91","1169","4"
11,6570,"35263.16","3256","5"
11,6654,"32916.13","800","6"
11,3348,"27129.93","857","7"
11,4261,"26813.86","1214","8"
11,8068,"25560.58","1042","9"
11,3858,"24053.13","987","10"
12,3405,"47813.34","1586","1"
12,8068,"34052.48","1402","2"
12,6570,"29080.08","2672","3"
12,1233,"26514.64","736","4"
12,3545,"25806.71","829","5"
12,3489,"24021.76","824","6"
12,2663,"21943.00","700","7"
12,4261,"20374.93","907","8"
12,11219,"18717.53","1325","9"
12,38370,"17187.23","1783","10"
13,4261,"71470.88","3212","1"
13,3405,"43607.77","1451","2"
13,8068,"36143.67","1483","3"
13,4243,"33644.54","1546","4"
13,1233,"29481.86","814","5"
13,1376,"28767.40","1260","6"
13,3512,"25599.44","1556","7"
13,4260,"23148.76","1124","8"
13,4227,"23043.84","1316","9"
13,3102,"22409.21","1279","10"
14,4261,"105133.79","4721","1"
14,8068,"70186.19","2881","2"
