"store","est_cogs","total_revenue","est_gross_profit","gross_margin_pct"
76,"17488690.16","25451535.24","7962845.08","31.29"
73,"14974876.73","21735975.07","6761098.34","31.11"
34,"14583059.25","20928718.38","6345659.13","30.32"
38,"13346885.16","19451642.60","6104757.44","31.38"
66,"12286328.85","17825657.74","5539328.89","31.08"
50,"12018141.81","16938875.88","4920734.07","29.05"
67,"10399289.36","15098061.03","4698771.67","31.12"
69,"10000273.09","14446730.12","4446457.03","30.78"
60,"8362981.19","12123848.60","3760867.41","31.02"
15,"7229155.53","10402883.97","3173728.44","30.51"
55,"7008672.47","10139794.77","3131122.30","30.88"
41,"6408527.31","9180784.88","2772257.57","30.20"
49,"6121399.86","8760708.30","2639308.44","30.13"
74,"6148341.51","8722708.57","2574367.06","29.51"
10,"5739194.01","8150532.22","2411338.21","29.59"
23,"5428029.02","7871477.23","2443448.21","31.04"
68,"5313031.27","7814486.09","2501454.82","32.01"
33,"4932517.46","7090764.91","2158247.45","30.44"
1,"4584106.28","6665667.42","2081561.14","31.23"
6,"4403590.66","6451680.55","2048089.89","31.75"
2,"4494177.53","6431522.53","1937345.00","30.12"
32,"4262524.44","6106440.85","1843916.41","30.20"
59,"4047398.13","5815970.33","1768572.20","30.41"
9,"3986776.26","5736068.02","1749291.76","30.50"
61,"4033478.09","5682705.00","1649226.91","29.02"
79,"3931055.06","5668200.98","1737145.92","30.65"
25,"3758899.17","5512288.50","1753389.33","31.81"
7,"3764619.94","5483346.53","1718726.59","31.34"
11,"3574902.11","5304174.69","1729272.58","32.60"
14,"3623620.43","5117861.32","1494240.89","29.20"
56,"3519844.79","5106181.73","1586336.94","31.07"
64,"3377238.59","5031296.07","1654057.48","32.88"
71,"3359860.81","4810081.90","1450221.09","30.15"
48,"3422939.41","4791315.15","1368375.74","28.56"
72,"3235832.38","4666309.64","1430477.26","30.66"
21,"3084847.61","4522580.78","1437733.17","31.79"
27,"3020413.08","4244147.13","1223734.05","28.83"
30,"2843561.77","4086824.45","1243262.68","30.42"
53,"2873788.16","4083814.20","1210026.04","29.63"
51,"2757483.66","3971729.96","1214246.30","30.57"
54,"2602228.77","3817895.35","1215666.58","31.84"
22,"2584760.75","3730796.02","1146035.27","30.72"
75,"2593182.29","3707234.76","1114052.47","30.05"
19,"2536926.95","3665646.48","1128719.53","30.79"
77,"2565822.45","3654768.34","1088945.89","29.80"
20,"2486697.20","3561651.31","1074954.11","30.18"
8,"2470733.36","3550797.26","1080063.90","30.42"
58,"2447963.71","3491083.76","1043120.05","29.88"
44,"2380153.03","3460622.12","1080469.09","31.22"
39,"2320530.40","3445111.28","1124580.88","32.64"
31,"2379589.73","3387542.46","1007952.73","29.75"
4,"2193310.35","3146860.80","953550.45","30.30"
12,"2109653.85","3110133.21","1000479.36","32.17"
62,"2065647.08","2966374.05","900726.97","30.36"
78,"2029273.15","2920969.18","891696.03","30.53"
42,"1983448.41","2874617.84","891169.43","31.00"
47,"1807745.95","2636107.03","828361.08","31.42"
35,"1772623.41","2559647.35","787023.94","30.75"
13,"1762000.77","2493173.24","731172.47","29.33"
40,"1696492.69","2469255.31","772762.62","31.30"
57,"1625905.46","2342914.23","717008.77","30.60"
43,"1621863.55","2314187.81","692324.26","29.92"
17,"1499762.70","2134346.15","634583.45","29.73"
70,"1442824.11","2068417.36","625593.25","30.25"
63,"1346292.71","1913870.88","567578.17","29.66"
16,"1336679.72","1913646.72","576967.00","30.15"
52,"1278623.67","1847154.65","568530.98","30.78"
24,"1182403.68","1702288.52","519884.84","30.54"
28,"1152739.58","1660711.42","507971.84","30.59"
65,"1124592.04","1659509.90","534917.86","32.23"
45,"1009896.51","1450267.01","440370.50","30.36"
36,"987329.71","1409283.17","421953.46","29.94"
5,"930264.11","1334783.32","404519.21","30.31"
18,"906066.90","1310054.88","403987.98","30.84"
46,"820644.36","1218254.87","397610.51","32.64"
37,"735331.17","1058592.11","323260.94","30.54"
81,"657786.16","934959.66","277173.50","29.65"
29,"499226.03","727921.13","228695.10","31.42"
26,"395833.58","566374.79","170541.21","30.11"
3,"292097.49","419732.96","127635.47","30.41"
