"store","brand","inventory_id","beg_on_hand","end_on_hand","avg_inventory","inv_movement"
1,58,"1_HARDERSFIELD_58","8.00","11.00","9.50","INCREASED"
1,60,"1_HARDERSFIELD_60","7.00","0","3.50","DISAPPEARED"
1,62,"1_HARDERSFIELD_62","6.00","7.00","6.50","INCREASED"
1,63,"1_HARDERSFIELD_63","3.00","7.00","5.00","INCREASED"
1,72,"1_HARDERSFIELD_72","6.00","4.00","5.00","DECREASED"
1,75,"1_HARDERSFIELD_75","18.00","7.00","12.50","DECREASED"
1,77,"1_HARDERSFIELD_77","7.00","18.00","12.50","INCREASED"
1,79,"1_HARDERSFIELD_79","2.00","7.00","4.50","INCREASED"
1,115,"1_HARDERSFIELD_115","5.00","35.00","20.00","INCREASED"
1,120,"1_HARDERSFIELD_120","11.00","0","5.50","DISAPPEARED"
1,126,"1_HARDERSFIELD_126","17.00","36.00","26.50","INCREASED"
1,159,"1_HARDERSFIELD_159","0","8.00","4.00","NEW_ITEM"
1,165,"1_HARDERSFIELD_165","0.00","0","0.00","DISAPPEARED"
1,171,"1_HARDERSFIELD_171","12.00","24.00","18.00","INCREASED"
1,175,"1_HARDERSFIELD_175","6.00","10.00","8.00","INCREASED"
1,178,"1_HARDERSFIELD_178","24.00","6.00","15.00","DECREASED"
1,192,"1_HARDERSFIELD_192","2.00","5.00","3.50","INCREASED"
1,200,"1_HARDERSFIELD_200","0","3.00","1.50","NEW_ITEM"
1,211,"1_HARDERSFIELD_211","6.00","7.00","6.50","INCREASED"
1,233,"1_HARDERSFIELD_233","11.00","11.00","11.00","UNCHANGED"
1,247,"1_HARDERSFIELD_247","1.00","0","0.50","DISAPPEARED"
1,254,"1_HARDERSFIELD_254","13.00","11.00","12.00","DECREASED"
1,261,"1_HARDERSFIELD_261","14.00","8.00","11.00","DECREASED"
1,271,"1_HARDERSFIELD_271","0","5.00","2.50","NEW_ITEM"
1,273,"1_HARDERSFIELD_273","29.00","46.00","37.50","INCREASED"
1,281,"1_HARDERSFIELD_281","1.00","0","0.50","DISAPPEARED"
1,283,"1_HARDERSFIELD_283","4.00","0","2.00","DISAPPEARED"
1,284,"1_HARDERSFIELD_284","2.00","8.00","5.00","INCREASED"
1,288,"1_HARDERSFIELD_288","0","5.00","2.50","NEW_ITEM"
1,290,"1_HARDERSFIELD_290","0","5.00","2.50","NEW_ITEM"
