"brand","avg_daily_demand","stddev_daily_demand","selling_days","avg_lead_days","stddev_lead_days","rop_base","safety_stock_95","rop_with_safety_stock"
656,"2.0000",NULL,"1","8.00",NULL,"16.00",NULL,NULL
580,"360.0000",NULL,"1","4.00",NULL,"1440.00",NULL,NULL
582,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
503,"18.0000",NULL,"1","7.00","0.00","126.00",NULL,NULL
309,"1.0000",NULL,"1","8.00",NULL,"8.00",NULL,NULL
452,"6.0000",NULL,"1","9.00",NULL,"54.00",NULL,NULL
535,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
552,"1.0000",NULL,"1","7.00",NULL,"7.00",NULL,NULL
398,"9.0000",NULL,"1","11.00","1.41","99.00",NULL,NULL
330,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
203,"2.0000",NULL,"1","4.00",NULL,"8.00",NULL,NULL
241,"2.0000",NULL,"1","4.00",NULL,"8.00",NULL,NULL
187,"12.0000",NULL,"1","6.00",NULL,"72.00",NULL,NULL
150,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
239,"6.0000",NULL,"1","7.00",NULL,"42.00",NULL,NULL
105,"1.0000",NULL,"1",NULL,NULL,"7.00",NULL,NULL
420,"6.0000",NULL,"1",NULL,NULL,"42.00",NULL,NULL
351,"12.0000",NULL,"1","13.00",NULL,"156.00",NULL,NULL
335,"18.0000",NULL,"1","12.00",NULL,"216.00",NULL,NULL
667,"12.0000",NULL,"1",NULL,NULL,"84.00",NULL,NULL
