"sales_month","total_qty_sold","total_revenue","avg_selling_price","distinct_skus_sold","active_stores","active_brands"
"2016-01-01 00:00:00+00","2194959","29854027.92","15.49","167283","79","7567"
"2016-02-01 00:00:00+00","2125292","28876607.23","15.53","164296","79","7237"
"2016-03-01 00:00:00+00","2219626","28988411.94","15.34","162722","79","7201"
"2016-04-01 00:00:00+00","2289425","30723734.63","15.52","163961","79","7255"
"2016-05-01 00:00:00+00","2624496","36041210.52","15.82","173422","79","7666"
"2016-06-01 00:00:00+00","2858944","39290701.46","15.72","178814","79","7463"
"2016-07-01 00:00:00+00","3439648","49696466.85","15.82","182408","79","7739"
"2016-08-01 00:00:00+00","2892266","39056166.03","15.54","179555","79","8046"
"2016-09-01 00:00:00+00","2840043","38477538.83","15.79","184214","79","8524"
"2016-10-01 00:00:00+00","2724657","36433141.73","15.50","181884","79","8276"
"2016-11-01 00:00:00+00","2950515","42312696.86","15.65","184025","79","8393"
"2016-12-01 00:00:00+00","3758005","52312248.02","16.28","196655","79","8721"
