"po_month","total_purchased","total_purchase_value","avg_purchase_price","distinct_vendors","distinct_brands","avg_lead_days"
"2015-12-01 00:00:00+00","705759","6950117.22","11.86","96","3893","7.81"
"2016-01-01 00:00:00+00","2130443","19138815.42","11.54","111","5980","7.83"
"2016-02-01 00:00:00+00","2242110","20147364.53","11.57","111","5683","7.86"
"2016-03-01 00:00:00+00","2199278","20252968.80","11.85","107","5407","7.37"
"2016-04-01 00:00:00+00","2328996","21798729.53","11.76","109","5575","7.46"
"2016-05-01 00:00:00+00","3011592","28693060.33","12.10","113","6221","7.74"
"2016-06-01 00:00:00+00","3038355","29699192.07","11.98","109","5869","7.54"
"2016-07-01 00:00:00+00","3252027","32193842.50","12.21","107","5600","7.86"
"2016-08-01 00:00:00+00","3224148","30747883.70","12.42","114","7461","7.60"
"2016-09-01 00:00:00+00","2906400","26840919.81","11.92","117","6400","7.39"
"2016-10-01 00:00:00+00","3086254","31836531.74","12.17","112","5892","7.88"
"2016-11-01 00:00:00+00","2673905","27252267.02","12.54","113","5880","7.62"
"2016-12-01 00:00:00+00","2785110","26349072.86","12.29","114","5719","7.21"
