"month","qty_sold","qty_received","net_inv_change","inv_status"
"2016-01-01 00:00:00+00","2194959","2232313","37354","OVERSTOCK_RISK"
"2016-02-01 00:00:00+00","2125292","2182428","57136","OVERSTOCK_RISK"
"2016-03-01 00:00:00+00","2219626","2319276","99650","OVERSTOCK_RISK"
"2016-04-01 00:00:00+00","2289425","2218612","-70813","STOCKOUT_RISK"
"2016-05-01 00:00:00+00","2624496","2778905","154409","OVERSTOCK_RISK"
"2016-06-01 00:00:00+00","2858944","3025276","166332","OVERSTOCK_RISK"
"2016-07-01 00:00:00+00","3439648","3322525","-117123","STOCKOUT_RISK"
"2016-08-01 00:00:00+00","2892266","3328118","435852","OVERSTOCK_RISK"
"2016-09-01 00:00:00+00","2840043","2953690","113647","OVERSTOCK_RISK"
"2016-10-01 00:00:00+00","2724657","2788824","64167","OVERSTOCK_RISK"
"2016-11-01 00:00:00+00","2950515","3051058","100543","OVERSTOCK_RISK"
"2016-12-01 00:00:00+00","3758005","3383352","-374653","STOCKOUT_RISK"
