"sales_month","brand","description","monthly_qty","monthly_revenue"
"2016-01-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","17937","394434.63"
"2016-01-01 00:00:00+00",3545,"Ketel One Vodka","11157","335958.43"
"2016-01-01 00:00:00+00",1233,"Jack Daniels No 7 Black","8475","305015.25"
"2016-01-01 00:00:00+00",8068,"Absolut 80 Proof","9661","249950.39"
"2016-01-01 00:00:00+00",3405,"Tito's Handmade Vodka","8328","249756.72"
"2016-01-01 00:00:00+00",3858,"Grey Goose Vodka","8512","204202.88"
"2016-01-01 00:00:00+00",2589,"Jameson Irish Whiskey","4254","175873.46"
"2016-01-01 00:00:00+00",1376,"Jim Beam","6842","156449.58"
"2016-01-01 00:00:00+00",3489,"Tanqueray","3493","118251.07"
"2016-01-01 00:00:00+00",3102,"Smirnoff Traveler","5771","103820.29"
"2016-02-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","17683","389030.17"
"2016-02-01 00:00:00+00",1233,"Jack Daniels No 7 Black","9052","325781.48"
"2016-02-01 00:00:00+00",3545,"Ketel One Vodka","9899","297087.01"
"2016-02-01 00:00:00+00",8068,"Absolut 80 Proof","10689","267118.11"
"2016-02-01 00:00:00+00",3405,"Tito's Handmade Vodka","8890","258117.10"
"2016-02-01 00:00:00+00",3858,"Grey Goose Vodka","8776","210816.24"
"2016-02-01 00:00:00+00",3489,"Tanqueray","5205","156097.95"
"2016-02-01 00:00:00+00",3102,"Smirnoff Traveler","8450","152015.50"
"2016-02-01 00:00:00+00",2589,"Jameson Irish Whiskey","3638","145483.62"
"2016-02-01 00:00:00+00",1376,"Jim Beam","3617","93771.83"
"2016-03-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","14837","341102.63"
"2016-03-01 00:00:00+00",1233,"Jack Daniels No 7 Black","8581","308830.19"
"2016-03-01 00:00:00+00",8068,"Absolut 80 Proof","11124","277988.76"
"2016-03-01 00:00:00+00",3545,"Ketel One Vodka","7383","236182.17"
"2016-03-01 00:00:00+00",3405,"Tito's Handmade Vodka","6259","206484.41"
"2016-03-01 00:00:00+00",2589,"Jameson Irish Whiskey","4792","191632.08"
"2016-03-01 00:00:00+00",3102,"Smirnoff Traveler","8534","153526.66"
"2016-03-01 00:00:00+00",3489,"Tanqueray","4983","149440.17"
"2016-03-01 00:00:00+00",1376,"Jim Beam","6108","146530.92"
"2016-03-01 00:00:00+00",3858,"Grey Goose Vodka","4066","113807.34"
"2016-04-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","19640","434521.60"
"2016-04-01 00:00:00+00",3405,"Tito's Handmade Vodka","12974","368086.66"
"2016-04-01 00:00:00+00",1233,"Jack Daniels No 7 Black","9912","356732.88"
"2016-04-01 00:00:00+00",8068,"Absolut 80 Proof","12417","310300.83"
"2016-04-01 00:00:00+00",3545,"Ketel One Vodka","7503","246281.97"
"2016-04-01 00:00:00+00",3489,"Tanqueray","7627","221956.73"
"2016-04-01 00:00:00+00",3858,"Grey Goose Vodka","9011","218237.89"
"2016-04-01 00:00:00+00",3102,"Smirnoff Traveler","9558","171948.42"
"2016-04-01 00:00:00+00",1376,"Jim Beam","7128","171000.72"
"2016-04-01 00:00:00+00",2589,"Jameson Irish Whiskey","3796","161285.04"
"2016-05-01 00:00:00+00",4261,"Capt Morgan Spiced Rum","21160","485648.40"
"2016-05-01 00:00:00+00",8068,"Absolut 80 Proof","14388","359163.12"
"2016-05-01 00:00:00+00",3405,"Tito's Handmade Vodka","10440","341432.16"
"2016-05-01 00:00:00+00",1233,"Jack Daniels No 7 Black","8708","336182.92"
"2016-05-01 00:00:00+00",3545,"Ketel One Vodka","9391","317769.09"
"2016-05-01 00:00:00+00",3489,"Tanqueray","8130","243218.70"
"2016-05-01 00:00:00+00",1376,"Jim Beam","8750","209598.50"
"2016-05-01 00:00:00+00",3102,"Smirnoff Traveler","11535","207359.65"
"2016-05-01 00:00:00+00",2589,"Jameson Irish Whiskey","3522","151410.78"
