"InventoryId","Store","City","Brand","Description","Size","onHand","Price","startDate"
"1_HARDERSFIELD_58",1,"HARDERSFIELD",58,"Gekkeikan Black & Gold Sake","750mL",8,12.99,2016-01-01
"1_HARDERSFIELD_60",1,"HARDERSFIELD",60,"Canadian Club 1858 VAP","750mL",7,10.99,2016-01-01
"1_HARDERSFIELD_62",1,"HARDERSFIELD",62,"Herradura Silver Tequila","750mL",6,36.99,2016-01-01
"1_HARDERSFIELD_63",1,"HARDERSFIELD",63,"Herradura Reposado Tequila","750mL",3,38.99,2016-01-01
"1_HARDERSFIELD_72",1,"HARDERSFIELD",72,"No. 3 London Dry Gin","750mL",6,34.99,2016-01-01
"1_HARDERSFIELD_75",1,"HARDERSFIELD",75,"Three Olives Tomato Vodka","750mL",18,14.99,2016-01-01
"1_HARDERSFIELD_77",1,"HARDERSFIELD",77,"Three Olives Espresso Vodka","750mL",7,14.99,2016-01-01
"1_HARDERSFIELD_79",1,"HARDERSFIELD",79,"Three Olives Loopy Vodka","750mL",2,14.99,2016-01-01
"1_HARDERSFIELD_115",1,"HARDERSFIELD",115,"Belvedere Vodka","Liter",5,27.99,2016-01-01
"1_HARDERSFIELD_120",1,"HARDERSFIELD",120,"Tarantula Azul Tequila Gift","750mL",11,13.99,2016-01-01
