"VendorNumber","VendorName","InvoiceDate","PONumber","PODate","PayDate","Quantity","Dollars","Freight","Approval"
105,"ALTAMAR BRANDS LLC         ","2016-01-04",8124,"2015-12-21","2016-02-16",6,214.26,3.47,"None"
4466,"AMERICAN VINTAGE BEVERAGE  ","2016-01-07",8137,"2015-12-22","2016-02-21",15,140.55,8.57,"None"
388,"ATLANTIC IMPORTING COMPANY ","2016-01-09",8169,"2015-12-24","2016-02-16",5,106.6,4.61,"None"
480,"BACARDI USA INC            ","2016-01-12",8106,"2015-12-20","2016-02-05",10100,137483.78,2935.2,"None"
516,"BANFI PRODUCTS CORP        ","2016-01-07",8170,"2015-12-24","2016-02-12",1935,15527.25,429.2,"None"
2396,"BLACK PRINCE DISTILLERY INC","2016-01-08",8191,"2015-12-25","2016-02-06",23,234.83,2.3,"None"
1128,"BROWN-FORMAN CORP          ","2016-01-09",8150,"2015-12-23","2016-02-19",4684,65403.57,1808.77,"None"
1189,"BULLY BOY DISTILLERS       ","2016-01-09",8171,"2015-12-24","2016-02-04",6,132.3,5.29,"None"
1273,"CALEDONIA SPIRITS INC      ","2016-01-06",8172,"2015-12-24","2016-02-15",5,146.8,15.53,"None"
11567,"CAMPARI AMERICA            ","2016-01-06",8151,"2015-12-23","2016-02-20",1321,12039.71,398.71,"None"
