"brand","description","abc_class","total_revenue","total_qty_sold","avg_selling_price"
1233,"Jack Daniels No 7 Black","A","5101920","142049.00","36.23"
3405,"Tito's Handmade Vodka","A","4819073","160247.00","30.31"
8068,"Absolut 80 Proof","A","4538121","187140.00","24.48"
4261,"Capt Morgan Spiced Rum","A","4475973","200412.00","22.83"
3545,"Ketel One Vodka","A","4223108","135838.00","31.42"
3858,"Grey Goose Vodka","A","3383912","141860.00","24.57"
2589,"Jameson Irish Whiskey","A","2773368","69627.00","40.52"
3489,"Tanqueray","A","2640491","90481.00","29.46"
3102,"Smirnoff Traveler","A","2592041","148265.00","17.66"
1376,"Jim Beam","A","2435393","107061.00","23.05"
