"vendor_name","total_revenue","total_units_sold","sku_count"
"DIAGEO NORTH AMERICA INC","68742417","5422703.00","415"
"MARTIGNETTI COMPANIES","41047306","2581318.00","1495"
"PERNOD RICARD USA","32281248","1613460.00","254"
"JIM BEAM BRANDS COMPANY","31906321","2630226.00","389"
"BACARDI USA INC","25014557","1457301.00","171"
"CONSTELLATION BRANDS INC","24469173","2301688.00","461"
"E & J GALLO WINERY","18556086","1809023.00","510"
"BROWN-FORMAN CORP","18478557","983853.00","135"
"ULTRA BEVERAGE COMPANY LLP","17822938","1043235.00","883"
"M S WALKER INC","15465248","1343481.00","882"
