"sales_month","monthly_revenue","monthly_qty","active_skus"
"2016-01-01","29854028","2194959.00","7567"
"2016-02-01","28876607","2125292.00","7237"
"2016-03-01","28988412","2219626.00","7201"
"2016-04-01","30723735","2289425.00","7255"
"2016-05-01","36041211","2624496.00","7666"
"2016-06-01","39290701","2858944.00","7463"
"2016-07-01","49696467","3439648.00","7739"
"2016-08-01","39056166","2892266.00","8046"
"2016-09-01","38477539","2840043.00","8524"
"2016-10-01","36433142","2724657.00","8276"
"2016-11-01","42312697","2950515.00","8393"
"2016-12-01","52312248","3758005.00","8721"
