"date_key","year","quarter","month","month_name","week_of_year","day_of_week","day_name","is_weekend"
"2016-01-01",2016,1,1,"January  ",53,5,"Friday   ",False
"2016-01-02",2016,1,1,"January  ",53,6,"Saturday ",True
"2016-01-03",2016,1,1,"January  ",53,0,"Sunday   ",True
"2016-01-04",2016,1,1,"January  ",1,1,"Monday   ",False
"2016-01-05",2016,1,1,"January  ",1,2,"Tuesday  ",False
"2016-01-06",2016,1,1,"January  ",1,3,"Wednesday",False
"2016-01-07",2016,1,1,"January  ",1,4,"Thursday ",False
"2016-01-08",2016,1,1,"January  ",1,5,"Friday   ",False
"2016-01-09",2016,1,1,"January  ",1,6,"Saturday ",True
"2016-01-10",2016,1,1,"January  ",1,0,"Sunday   ",True
"2016-01-11",2016,1,1,"January  ",2,1,"Monday   ",False
"2016-01-12",2016,1,1,"January  ",2,2,"Tuesday  ",False
"2016-01-13",2016,1,1,"January  ",2,3,"Wednesday",False
"2016-01-14",2016,1,1,"January  ",2,4,"Thursday ",False
"2016-01-15",2016,1,1,"January  ",2,5,"Friday   ",False
"2016-01-16",2016,1,1,"January  ",2,6,"Saturday ",True
"2016-01-17",2016,1,1,"January  ",2,0,"Sunday   ",True
"2016-01-18",2016,1,1,"January  ",3,1,"Monday   ",False
"2016-01-19",2016,1,1,"January  ",3,2,"Tuesday  ",False
"2016-01-20",2016,1,1,"January  ",3,3,"Wednesday",False
"2016-01-21",2016,1,1,"January  ",3,4,"Thursday ",False
"2016-01-22",2016,1,1,"January  ",3,5,"Friday   ",False
"2016-01-23",2016,1,1,"January  ",3,6,"Saturday ",True
"2016-01-24",2016,1,1,"January  ",3,0,"Sunday   ",True
"2016-01-25",2016,1,1,"January  ",4,1,"Monday   ",False
"2016-01-26",2016,1,1,"January  ",4,2,"Tuesday  ",False
"2016-01-27",2016,1,1,"January  ",4,3,"Wednesday",False
"2016-01-28",2016,1,1,"January  ",4,4,"Thursday ",False
"2016-01-29",2016,1,1,"January  ",4,5,"Friday   ",False
