"product_sk","brand","description","size","volume_ml","classification","default_retail_price","default_cost_price","default_gross_margin_pct","abc_class"
"6",68,"Luxardo Triplum Triple Sec","750mL","750.00",1,"24.99","18.93","24.25",NULL
"14",89,"Ty Ku Soju Vodka","750mL","750.00",1,"18.99","14.39","24.22",NULL
"15",93,"Writer's Block Syrah","750mL","750.00",1,"15.99","12.40","22.45",NULL
"43",145,"Smirnoff Cranberry Vodka","1000mL","1000.00",1,"14.49","11.50","20.63",NULL
"82",215,"DeKuyper Alabama Slammer RTD","750mL","750.00",1,"10.99","8.65","21.29",NULL
"91",238,"Smirnoff Pear","1000mL","1000.00",1,"13.99","10.36","25.95",NULL
"101",255,"Conch Republic Dark Rum","1000mL","1000.00",1,"7.29","5.48","24.83",NULL
"103",259,"Don Q Cristal Rum","750mL","750.00",1,"8.99","6.97","22.47",NULL
"127",291,"Wisers 18 Yr Old Canadian","750mL","750.00",1,"64.99","48.14","25.93",NULL
"134",307,"Hennessy VS Cognac","200mL","200.00",1,"8.99","6.06","32.59",NULL
"137",310,"Triple Eight Blueberry Vodka","750mL","750.00",1,"31.99","25.59","20.01",NULL
"139",312,"Pinnacle Country Fair Cotton","750mL","750.00",1,"12.99","9.41","27.56",NULL
"142",316,"Bols Pumpkin Smash","1000mL","1000.00",1,"6.99","5.30","24.18",NULL
"150",333,"Hiram Walker Br Cr de Cacao","750mL","750.00",1,"7.29","5.28","27.57",NULL
"155",349,"Fernet Branca Menta","750mL","750.00",1,"27.99","21.05","24.79",NULL
"173",374,"Relska Vodka","1000mL","1000.00",1,"6.99","4.99","28.61",NULL
"179",385,"Leopold GourmelAge Des Epic","750mL","750.00",1,"447.99","327.00","27.01",NULL
"190",410,"Absolut Wild Tea","1000mL","1000.00",1,"21.99","14.81","32.65",NULL
"195",422,"Old Weller Antique Bourbon","750mL","750.00",1,"21.99","17.59","20.01",NULL
"208",445,"Fleischmanns Extra Dry Gin","1000mL","1000.00",1,"8.79","6.46","26.51",NULL
"210",447,"Fleischmanns Royal Vodka Des","1000mL","1000.00",1,"6.99","5.26","24.75",NULL
"223",489,"Tequila Rose Game of Love","750mL","750.00",1,"16.99","12.68","25.37",NULL
"236",518,"Malibu Black Rum","1000mL","1000.00",1,"15.99","11.84","25.95",NULL
"242",531,"Hiram Walker Gr Cr de Menthe","750mL","750.00",1,"7.29","5.56","23.73",NULL
"246",537,"The Famous Grouse Gold RSV","750mL","750.00",1,"32.99","24.08","27.01",NULL
"252",545,"Elderflower Rum","750mL","750.00",1,"36.99","27.60","25.39",NULL
"257",550,"Tijuana Oro Tequila","1000mL","1000.00",1,"8.99","6.71","25.36",NULL
"271",583,"Malibu Pineapple Rum","1000mL","1000.00",1,"16.99","12.22","28.08",NULL
"275",588,"Luca Nico Malbec","750mL","750.00",2,"114.99","77.70","32.43",NULL
"291",609,"Don Q Gold Rum","750mL","750.00",1,"10.99","8.39","23.66",NULL
"296",617,"Crystal Head Rolling Stones","750mL","750.00",1,"49.99","36.49","27.01",NULL
"300",633,"Wandering Poet Rihaku Sake","300mL","300.00",1,"14.49","11.32","21.88",NULL
"304",638,"Moon On The Water Sake","300mL","300.00",1,"16.99","12.97","23.66",NULL
"306",643,"Thatchers Organic Apple Spic","750mL","750.00",1,"9.99","7.57","24.22",NULL
"308",647,"McCormick Orange Vodka","1000mL","1000.00",1,"6.99","5.18","25.89",NULL
"314",654,"McCormick Citrus Vodka","1000mL","1000.00",1,"6.99","5.30","24.18",NULL
"323",666,"McCormick Raspberry Vodka","1000mL","1000.00",1,"6.99","5.38","23.03",NULL
"326",672,"Pinnacle Cherry Vodka","1750mL","1750.00",1,"21.99","16.92","23.06",NULL
"334",690,"Thatchers Organic Blueberry","750mL","750.00",1,"21.99","16.53","24.83",NULL
"357",741,"Catdaddy","750mL","750.00",1,"22.99","16.42","28.58",NULL
"401",815,"Bacardi Wolf Berry","750mL","750.00",1,"10.99","8.52","22.47",NULL
"405",820,"Hennessy VS Cognac","1000mL","1000.00",1,"39.99","25.54","36.13",NULL
"473",894,"Tall Blond Vodka","1000mL","1000.00",1,"25.49","18.74","26.48",NULL
"534",990,"Ethyl Alcohol 200 Proof","3750mL","3750.00",1,"134.49","105.07","21.88",NULL
"573",1044,"Dry Sack Sherry +15 Yr Gift","750mL","750.00",2,"13.49","9.05","32.91",NULL
