"store_sk","store_number","city"
"1",1,"HARDERSFIELD"
"2",2,"ASHBORNE"
"3",3,"HORNSEY"
"4",4,"EANVERNESS"
"5",5,"SUTTON"
"6",6,"GOULCREST"
"7",7,"STANMORE"
"8",8,"ALNERWICK"
"9",9,"BLACKPOOL"
"10",10,"HORNSEY"
"11",11,"CARDEND"
"12",12,"LEESIDE"
"13",13,"TARMSWORTH"
"14",14,"BROMWICH"
"15",15,"WANBORNE"
"16",16,"LUNDY"
"17",17,"OLDHAM"
"18",18,"FURNESS"
"19",19,"WINTERVALE"
"20",20,"BREDWARDINE"
"21",21,"BALERNO"
"22",22,"SHARNWICK"
"23",23,"ARBINGTON"
"24",24,"PALPERROTH"
"25",25,"CAERSHIRE"
"26",26,"KNIFE'S EDGE"
"27",27,"MOUNTMEND"
"28",28,"LARNWICK"
"29",29,"AYLESBURY"
"30",30,"CULCHETH"
"31",31,"HORNSEY"
"32",32,"MOUNTMEND"
"33",33,"HORNSEY"
"34",34,"PITMERDEN"
"35",35,"HALIVAARA"
"36",36,"LEWES"
"37",37,"PAETHSMOUTH"
"38",38,"GOULCREST"
"39",39,"EASTHALLOW"
"40",40,"BULLMAR"
"41",41,"LARNWICK"
"42",42,"BLACK HOLLOW"
"43",43,"WOLFORD"
"44",44,"PORTHCRAWL"
"45",45,"VERITAS"
"46",46,"TYWARDREATH"
"47",47,"PELLA'S WISH"
"48",48,"NORFOLK"
"49",49,"GARIGILL"
"50",50,"MOUNTMEND"
"51",51,"ABERDEEN"
"52",52,"GRAYCOTT"
"53",53,"HILLFAR"
"54",54,"GUTHRAM"
"55",55,"DRY GULCH"
"56",56,"BEGGAR'S HOLE"
"57",57,"LANTEGLOS"
"58",58,"HARTLEPOOL"
"59",59,"CLAETHORPES"
"60",60,"IRRAGIN"
"61",61,"AETHELNEY"
"62",62,"KILMARNOCK"
"63",63,"SWORDBREAK"
"64",64,"CESTERFIELD"
"65",65,"LUTON"
"66",66,"EANVERNESS"
"67",67,"EANVERNESS"
"68",68,"SOLARIS"
"69",69,"MOUNTMEND"
"70",70,"KELD"
"71",71,"CLARCTON"
"72",72,"HARDERSFIELD"
"73",73,"DONCASTER"
"74",74,"PAENTMARWY"
"75",75,"BARNCOMBE"
"76",76,"DONCASTER"
"77",77,"TAMWORTH"
"78",78,"EASTHAVEN"
"79",79,"BALLYMENA"
"80",81,"PEMBROKE"
