"product_sk","store_sk","inventory_id","snapshot_date","snapshot_type","quantity_on_hand","snapshot_price","total_inventory_value"
"11","79","79_BALLYMENA_79","2016-01-01","BEGINNING","22.00","14.99","329.7800"
"11","78","78_EASTHAVEN_79","2016-01-01","BEGINNING","14.00","14.99","209.8600"
"11","77","77_TAMWORTH_79","2016-01-01","BEGINNING","4.00","14.99","59.9600"
"11","76","76_DONCASTER_79","2016-01-01","BEGINNING","14.00","14.99","209.8600"
"11","75","75_BARNCOMBE_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","74","74_PAENTMARWY_79","2016-01-01","BEGINNING","23.00","14.99","344.7700"
"11","73","73_DONCASTER_79","2016-01-01","BEGINNING","16.00","14.99","239.8400"
"11","72","72_HARDERSFIELD_79","2016-01-01","BEGINNING","19.00","14.99","284.8100"
"11","71","71_CLARCTON_79","2016-01-01","BEGINNING","8.00","14.99","119.9200"
"11","70","70_KELD_79","2016-01-01","BEGINNING","19.00","14.99","284.8100"
"11","69","69_MOUNTMEND_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","68","68_SOLARIS_79","2016-01-01","BEGINNING","15.00","14.99","224.8500"
"11","67","67_EANVERNESS_79","2016-01-01","BEGINNING","25.00","14.99","374.7500"
"11","66","66_EANVERNESS_79","2016-01-01","BEGINNING","16.00","14.99","239.8400"
"11","65","65_LUTON_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","64","64_CESTERFIELD_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","63","63_SWORDBREAK_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","62","62_KILMARNOCK_79","2016-01-01","BEGINNING","4.00","14.99","59.9600"
"11","61","61_AETHELNEY_79","2016-01-01","BEGINNING","16.00","14.99","239.8400"
"11","60","60_IRRAGIN_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","59","59_CLAETHORPES_79","2016-01-01","BEGINNING","17.00","14.99","254.8300"
"11","58","58_HARTLEPOOL_79","2016-01-01","BEGINNING","19.00","14.99","284.8100"
"11","57","57_LANTEGLOS_79","2016-01-01","BEGINNING","6.00","14.99","89.9400"
"11","56","56_BEGGAR'S HOLE_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","55","55_DRY GULCH_79","2016-01-01","BEGINNING","17.00","14.99","254.8300"
"11","54","54_GUTHRAM_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","53","53_HILLFAR_79","2016-01-01","BEGINNING","9.00","14.99","134.9100"
"11","52","52_GRAYCOTT_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","51","51_ABERDEEN_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","50","50_MOUNTMEND_79","2016-01-01","BEGINNING","18.00","14.99","269.8200"
"11","49","49_GARIGILL_79","2016-01-01","BEGINNING","9.00","14.99","134.9100"
"11","48","48_NORFOLK_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","47","47_PELLA'S WISH_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","46","46_TYWARDREATH_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","45","45_VERITAS_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","44","44_PORTHCRAWL_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","43","43_WOLFORD_79","2016-01-01","BEGINNING","8.00","14.99","119.9200"
"11","42","42_BLACK HOLLOW_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","41","41_LARNWICK_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","40","40_BULLMAR_79","2016-01-01","BEGINNING","3.00","14.99","44.9700"
"11","39","39_EASTHALLOW_79","2016-01-01","BEGINNING","11.00","14.99","164.8900"
"11","38","38_GOULCREST_79","2016-01-01","BEGINNING","20.00","14.99","299.8000"
"11","37","37_PAETHSMOUTH_79","2016-01-01","BEGINNING","3.00","14.99","44.9700"
"11","36","36_LEWES_79","2016-01-01","BEGINNING","8.00","14.99","119.9200"
"11","35","35_HALIVAARA_79","2016-01-01","BEGINNING","5.00","14.99","74.9500"
"11","34","34_PITMERDEN_79","2016-01-01","BEGINNING","7.00","14.99","104.9300"
"11","33","33_HORNSEY_79","2016-01-01","BEGINNING","25.00","14.99","374.7500"
"11","32","32_MOUNTMEND_79","2016-01-01","BEGINNING","8.00","14.99","119.9200"
"11","31","31_HORNSEY_79","2016-01-01","BEGINNING","9.00","14.99","134.9100"
"11","30","30_CULCHETH_79","2016-01-01","BEGINNING","8.00","14.99","119.9200"
"11","29","29_AYLESBURY_79","2016-01-01","BEGINNING","4.00","14.99","59.9600"
"11","28","28_LARNWICK_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","27","27_MOUNTMEND_79","2016-01-01","BEGINNING","21.00","14.99","314.7900"
"11","26","26_KNIFE'S EDGE_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","25","25_CAERSHIRE_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","24","24_PALPERROTH_79","2016-01-01","BEGINNING","7.00","14.99","104.9300"
"11","23","23_ARBINGTON_79","2016-01-01","BEGINNING","14.00","14.99","209.8600"
"11","22","22_SHARNWICK_79","2016-01-01","BEGINNING","14.00","14.99","209.8600"
"11","21","21_BALERNO_79","2016-01-01","BEGINNING","8.00","14.99","119.9200"
"11","20","20_BREDWARDINE_79","2016-01-01","BEGINNING","13.00","14.99","194.8700"
"11","19","19_WINTERVALE_79","2016-01-01","BEGINNING","6.00","14.99","89.9400"
"11","18","18_FURNESS_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","17","17_OLDHAM_79","2016-01-01","BEGINNING","14.00","14.99","209.8600"
"11","16","16_LUNDY_79","2016-01-01","BEGINNING","6.00","14.99","89.9400"
"11","15","15_WANBORNE_79","2016-01-01","BEGINNING","4.00","14.99","59.9600"
"11","14","14_BROMWICH_79","2016-01-01","BEGINNING","23.00","14.99","344.7700"
"11","13","13_TARMSWORTH_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","12","12_LEESIDE_79","2016-01-01","BEGINNING","9.00","14.99","134.9100"
"11","11","11_CARDEND_79","2016-01-01","BEGINNING","8.00","14.99","119.9200"
"11","10","10_HORNSEY_79","2016-01-01","BEGINNING","12.00","14.99","179.8800"
"11","9","9_BLACKPOOL_79","2016-01-01","BEGINNING","6.00","14.99","89.9400"
"11","8","8_ALNERWICK_79","2016-01-01","BEGINNING","2.00","14.99","29.9800"
"11","7","7_STANMORE_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","6","6_GOULCREST_79","2016-01-01","BEGINNING","6.00","14.99","89.9400"
"11","5","5_SUTTON_79","2016-01-01","BEGINNING","15.00","14.99","224.8500"
"11","4","4_EANVERNESS_79","2016-01-01","BEGINNING","7.00","14.99","104.9300"
"11","3","3_HORNSEY_79","2016-01-01","BEGINNING","13.00","14.99","194.8700"
"11","2","2_ASHBORNE_79","2016-01-01","BEGINNING","10.00","14.99","149.9000"
"11","1","1_HARDERSFIELD_79","2016-01-01","BEGINNING","2.00","14.99","29.9800"
"12","76","76_DONCASTER_82","2016-01-01","BEGINNING","6.00","374.99","2249.9400"
"12","73","73_DONCASTER_82","2016-01-01","BEGINNING","3.00","374.99","1124.9700"
"12","69","69_MOUNTMEND_82","2016-01-01","BEGINNING","2.00","374.99","749.9800"
"12","67","67_EANVERNESS_82","2016-01-01","BEGINNING","3.00","374.99","1124.9700"
"12","66","66_EANVERNESS_82","2016-01-01","BEGINNING","3.00","374.99","1124.9700"
"12","38","38_GOULCREST_82","2016-01-01","BEGINNING","1.00","374.99","374.9900"
"12","34","34_PITMERDEN_82","2016-01-01","BEGINNING","6.00","374.99","2249.9400"
"23","15","15_WANBORNE_108","2016-01-01","BEGINNING","4.00","6.49","25.9600"
"23","7","7_STANMORE_108","2016-01-01","BEGINNING","19.00","6.49","123.3100"
"24","56","56_BEGGAR'S HOLE_109","2016-01-01","BEGINNING","6.00","6.49","38.9400"
"24","18","18_FURNESS_109","2016-01-01","BEGINNING","0.00","6.49","0.0000"
"24","11","11_CARDEND_109","2016-01-01","BEGINNING","2.00","6.49","12.9800"
"24","7","7_STANMORE_109","2016-01-01","BEGINNING","12.00","6.49","77.8800"
"24","4","4_EANVERNESS_109","2016-01-01","BEGINNING","8.00","6.49","51.9200"
"27","77","77_TAMWORTH_112","2016-01-01","BEGINNING","4.00","6.49","25.9600"
"27","68","68_SOLARIS_112","2016-01-01","BEGINNING","14.00","6.49","90.8600"
"27","46","46_TYWARDREATH_112","2016-01-01","BEGINNING","4.00","6.49","25.9600"
"27","14","14_BROMWICH_112","2016-01-01","BEGINNING","9.00","6.49","58.4100"
"29","77","77_TAMWORTH_114","2016-01-01","BEGINNING","10.00","6.49","64.9000"
"29","46","46_TYWARDREATH_114","2016-01-01","BEGINNING","3.00","6.49","19.4700"
"29","20","20_BREDWARDINE_114","2016-01-01","BEGINNING","41.00","6.49","266.0900"
