"product_sk","store_sk","vendor_sk","inventory_id","sales_date","sales_quantity","sales_price","sales_dollars","excise_tax","estimated_cogs"
"669","34","39","34_PITMERDEN_1228","2016-04-15","2.00","99.99","199.98","1.57","139.5200"
"669","34","39","34_PITMERDEN_1228","2016-04-10","1.00","99.99","99.99","0.79","69.7600"
"669","34","39","34_PITMERDEN_1228","2016-04-05","1.00","99.99","99.99","0.79","69.7600"
"669","34","39","34_PITMERDEN_1228","2016-04-02","5.00","104.99","524.95","3.94","348.8000"
"669","32","39","32_MOUNTMEND_1228","2016-04-28","3.00","99.99","299.97","2.36","209.2800"
"669","23","39","23_ARBINGTON_1228","2016-04-27","1.00","99.99","99.99","0.79","69.7600"
"669","22","39","22_SHARNWICK_1228","2016-04-23","1.00","99.99","99.99","0.79","69.7600"
"669","21","39","21_BALERNO_1228","2016-04-16","1.00","99.99","99.99","0.79","69.7600"
"669","20","39","20_BREDWARDINE_1228","2016-04-22","1.00","99.99","99.99","0.79","69.7600"
"669","20","39","20_BREDWARDINE_1228","2016-04-02","2.00","104.99","209.98","1.57","139.5200"
"669","2","39","2_ASHBORNE_1228","2016-04-28","1.00","99.99","99.99","0.79","69.7600"
"669","2","39","2_ASHBORNE_1228","2016-04-24","1.00","99.99","99.99","0.79","69.7600"
"669","19","39","19_WINTERVALE_1228","2016-04-09","1.00","99.99","99.99","0.79","69.7600"
"669","17","39","17_OLDHAM_1228","2016-04-30","1.00","99.99","99.99","0.79","69.7600"
"669","15","39","15_WANBORNE_1228","2016-04-30","1.00","99.99","99.99","0.79","69.7600"
"669","15","39","15_WANBORNE_1228","2016-04-27","1.00","99.99","99.99","0.79","69.7600"
"669","15","39","15_WANBORNE_1228","2016-04-01","1.00","104.99","104.99","0.79","69.7600"
"669","13","39","13_TARMSWORTH_1228","2016-04-30","1.00","99.99","99.99","0.79","69.7600"
"669","12","39","12_LEESIDE_1228","2016-04-09","1.00","99.99","99.99","0.79","69.7600"
"669","11","39","11_CARDEND_1228","2016-04-08","1.00","99.99","99.99","0.79","69.7600"
"669","79","39","79_BALLYMENA_1228","2016-03-19","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-03-21","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-03-18","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-03-17","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-03-11","1.00","104.99","104.99","0.79","69.7600"
"669","76","39","76_DONCASTER_1228","2016-03-02","3.00","104.99","314.97","2.36","209.2800"
"669","75","39","75_BARNCOMBE_1228","2016-03-10","1.00","104.99","104.99","0.79","69.7600"
"669","74","39","74_PAENTMARWY_1228","2016-03-16","1.00","104.99","104.99","0.79","69.7600"
"669","74","39","74_PAENTMARWY_1228","2016-03-11","1.00","104.99","104.99","0.79","69.7600"
"669","74","39","74_PAENTMARWY_1228","2016-03-10","1.00","104.99","104.99","0.79","69.7600"
"669","73","39","73_DONCASTER_1228","2016-03-28","2.00","104.99","209.98","1.57","139.5200"
"669","73","39","73_DONCASTER_1228","2016-03-20","2.00","104.99","209.98","1.57","139.5200"
"669","73","39","73_DONCASTER_1228","2016-03-11","1.00","104.99","104.99","0.79","69.7600"
"669","73","39","73_DONCASTER_1228","2016-03-03","1.00","104.99","104.99","0.79","69.7600"
"669","7","39","7_STANMORE_1228","2016-03-12","1.00","104.99","104.99","0.79","69.7600"
"669","67","39","67_EANVERNESS_1228","2016-03-17","1.00","104.99","104.99","0.79","69.7600"
"669","67","39","67_EANVERNESS_1228","2016-03-04","1.00","104.99","104.99","0.79","69.7600"
"669","66","39","66_EANVERNESS_1228","2016-03-25","1.00","104.99","104.99","0.79","69.7600"
"669","66","39","66_EANVERNESS_1228","2016-03-24","1.00","104.99","104.99","0.79","69.7600"
"669","66","39","66_EANVERNESS_1228","2016-03-01","1.00","104.99","104.99","0.79","69.7600"
"669","61","39","61_AETHELNEY_1228","2016-03-30","1.00","104.99","104.99","0.79","69.7600"
"669","61","39","61_AETHELNEY_1228","2016-03-05","1.00","104.99","104.99","0.79","69.7600"
"669","60","39","60_IRRAGIN_1228","2016-03-12","1.00","104.99","104.99","0.79","69.7600"
"669","60","39","60_IRRAGIN_1228","2016-03-09","1.00","104.99","104.99","0.79","69.7600"
"669","55","39","55_DRY GULCH_1228","2016-03-16","1.00","104.99","104.99","0.79","69.7600"
"669","50","39","50_MOUNTMEND_1228","2016-03-02","1.00","104.99","104.99","0.79","69.7600"
"669","47","39","47_PELLA'S WISH_1228","2016-03-07","1.00","104.99","104.99","0.79","69.7600"
"669","47","39","47_PELLA'S WISH_1228","2016-03-01","1.00","104.99","104.99","0.79","69.7600"
"669","41","39","41_LARNWICK_1228","2016-03-11","1.00","104.99","104.99","0.79","69.7600"
"669","38","39","38_GOULCREST_1228","2016-03-26","1.00","104.99","104.99","0.79","69.7600"
