"vendor_name","raw_len","trimmed_len"
"IRA GOLDMAN AND WILLIAMS, LLP          ",39,29
"ALISA CARR BEVERAGES           ",31,20
"ALTAMAR BRANDS LLC         ",27,18
"AMERICAN VINTAGE BEVERAGE  ",27,25
"APPOLO VINEYARDS LLC       ",27,20
"ATLANTIC IMPORTING COMPANY ",27,26
"BANFI PRODUCTS CORP        ",27,19
"CAMPARI AMERICA            ",27,15
"BERNIKO LLC                ",27,11
"BLACK COVE BEVERAGES       ",27,20
"BLACK ROCK SPIRITS LLC     ",27,22
"BRONCO WINE COMPANY        ",27,19
"BROWN-FORMAN CORP          ",27,17
"BULLY BOY DISTILLERS       ",27,20
"CALEDONIA SPIRITS INC      ",27,21
"BACARDI USA INC            ",27,15
"CANDIA VINEYARDS           ",27,16
"CAPSTONE INTERNATIONAL     ",27,22
"CASTLE BRANDS CORP.        ",27,19
"AMERICAN SPIRITS EXCHANGE  ",27,25
